alpha,beta,gamma,mean_lambda2,partition_rate
0.30000000000000004,0.25,0.07500000000000001,0.7957193936041204,0.0
0.30000000000000004,0.25,0.1,0.7930163117319311,0.0
0.30000000000000004,0.25,0.125,0.7976769278651458,0.0
0.30000000000000004,0.25,0.15000000000000002,0.8333258576682172,0.0
0.30000000000000004,0.25,0.17500000000000004,0.8178646713318005,0.0
0.30000000000000004,0.25,0.2,0.7972050004715088,0.0
0.30000000000000004,0.30000000000000004,0.05,0.794273675062433,0.0
0.30000000000000004,0.30000000000000004,0.07500000000000001,0.7843859329242318,0.0
0.30000000000000004,0.30000000000000004,0.1,0.8296827571031092,0.0
0.30000000000000004,0.30000000000000004,0.125,0.8166919278589737,0.0
0.30000000000000004,0.30000000000000004,0.15000000000000002,0.8257119825631767,0.0
0.30000000000000004,0.30000000000000004,0.17500000000000004,0.7932537990454479,0.0
0.30000000000000004,0.30000000000000004,0.2,0.8215759953647662,0.0
0.30000000000000004,0.3500000000000001,0.05,0.8078745553364777,0.0
0.30000000000000004,0.3500000000000001,0.07500000000000001,0.807088145325024,0.0
0.30000000000000004,0.3500000000000001,0.1,0.812185245413075,0.0
0.30000000000000004,0.3500000000000001,0.125,0.8043232362695921,0.0
0.30000000000000004,0.3500000000000001,0.15000000000000002,0.8190290917445465,0.0
0.30000000000000004,0.3500000000000001,0.17500000000000004,0.7846322556561063,0.0
0.30000000000000004,0.3500000000000001,0.2,0.8188649992510194,0.0
0.30000000000000004,0.4,0.05,0.8088495959652348,0.0
0.30000000000000004,0.4,0.07500000000000001,0.8263416666962623,0.0
0.30000000000000004,0.4,0.1,0.8056329749839777,0.0
0.30000000000000004,0.4,0.125,0.8288549022252796,0.0
0.30000000000000004,0.4,0.15000000000000002,0.7871292875209421,0.0
0.30000000000000004,0.4,0.17500000000000004,0.8047408504859512,0.0
0.30000000000000004,0.4,0.2,0.8170692644710197,0.0
0.35,0.1,0.05,0.8131201285945134,0.0
0.35,0.1,0.07500000000000001,0.8316406993470828,0.0
0.35,0.1,0.1,0.8078082172816172,0.0
0.35,0.1,0.125,0.7882517012281735,0.0
0.35,0.1,0.15000000000000002,0.8001591556206158,0.0
0.35,0.1,0.17500000000000004,0.8285496170288016,0.0
0.35,0.1,0.2,0.8543833376089063,0.0
0.35,0.15000000000000002,0.05,0.8100840268269467,0.0
0.35,0.15000000000000002,0.07500000000000001,0.8114825452879048,0.0
0.35,0.15000000000000002,0.1,0.8266620485461376,0.0
0.35,0.15000000000000002,0.125,0.824569122737579,0.0
0.35,0.15000000000000002,0.15000000000000002,0.8017371227544332,0.0
0.35,0.15000000000000002,0.17500000000000004,0.8008373797134151,0.0
0.35,0.15000000000000002,0.2,0.8208565997046725,0.0
0.35,0.2,0.05,0.7958460589456119,0.0
0.35,0.2,0.07500000000000001,0.7963272407431655,0.0
0.35,0.2,0.1,0.7817399153645566,0.0
0.35,0.2,0.125,0.8125737636345184,0.0
0.35,0.2,0.15000000000000002,0.7795474092335535,0.0
0.35,0.2,0.17500000000000004,0.8080813176901286,0.0
0.35,0.2,0.2,0.8375272847727632,0.0
0.35,0.25,0.05,0.8187188192806703,0.0
0.35,0.25,0.07500000000000001,0.8045399062583382,0.0
0.35,0.25,0.1,0.7868933180726938,0.0
0.35,0.25,0.125,0.8401089649219183,0.0
0.35,0.25,0.15000000000000002,0.7897866820646593,0.0
0.35,0.25,0.17500000000000004,0.8105632191675823,0.0
0.35,0.25,0.2,0.8086332010506809,0.0
0.35,0.30000000000000004,0.05,0.8122080407576058,0.0
0.35,0.30000000000000004,0.07500000000000001,0.829925767563579,0.0
0.35,0.30000000000000004,0.1,0.8265379866310024,0.0
0.35,0.30000000000000004,0.125,0.7915949748837187,0.0
0.35,0.30000000000000004,0.15000000000000002,0.8129430234633851,0.0
0.35,0.30000000000000004,0.17500000000000004,0.8044028823381631,0.0
0.35,0.30000000000000004,0.2,0.8116671983779296,0.0
0.35,0.3500000000000001,0.05,0.8156598686832416,0.0
0.35,0.3500000000000001,0.07500000000000001,0.8003427839185251,0.0
0.35,0.3500000000000001,0.1,0.8272153371179595,0.0
0.35,0.3500000000000001,0.125,0.8123671451404796,0.0
0.35,0.3500000000000001,0.15000000000000002,0.8324640357780693,0.0
0.35,0.3500000000000001,0.17500000000000004,0.8004421949959111,0.0
0.35,0.3500000000000001,0.2,0.8103479106769891,0.0
0.35,0.4,0.05,0.8008353936108731,0.0
0.35,0.4,0.07500000000000001,0.8134272091261304,0.0
0.35,0.4,0.1,0.8232154899129464,0.0
0.35,0.4,0.125,0.8019307614433571,0.0
0.35,0.4,0.15000000000000002,0.8163019702367271,0.0
0.35,0.4,0.17500000000000004,0.8180911127998605,0.0
0.35,0.4,0.2,0.7880299755847021,0.0
0.4,0.1,0.05,0.8340012569674751,0.0
0.4,0.1,0.07500000000000001,0.8113548099337542,0.0
0.4,0.1,0.1,0.8101785998335158,0.0
0.4,0.1,0.125,0.8195434659985976,0.0
0.4,0.1,0.15000000000000002,0.8167047383571961,0.0
0.4,0.1,0.17500000000000004,0.8165830034793496,0.0
0.4,0.1,0.2,0.8083351606748255,0.0
0.4,0.15000000000000002,0.05,0.8022192419455149,0.0
0.4,0.15000000000000002,0.07500000000000001,0.8073613627901329,0.0
0.4,0.15000000000000002,0.1,0.7951908317553095,0.0
0.4,0.15000000000000002,0.125,0.8132984283483131,0.0
0.4,0.15000000000000002,0.15000000000000002,0.8415248035958068,0.0
0.4,0.15000000000000002,0.17500000000000004,0.8068289394454431,0.0
0.4,0.15000000000000002,0.2,0.7919171085988757,0.0
0.4,0.2,0.05,0.7840928459990149,0.0
0.4,0.2,0.07500000000000001,0.7869788381584287,0.0
0.4,0.2,0.1,0.810776116798517,0.0
0.4,0.2,0.125,0.803282480299144,0.0
0.4,0.2,0.15000000000000002,0.7982403821506988,0.0
0.4,0.2,0.17500000000000004,0.8104799441708239,0.0
0.4,0.2,0.2,0.8195955148844335,0.0
0.4,0.25,0.05,0.8154330432643672,0.0
0.4,0.25,0.07500000000000001,0.7907559669675998,0.0
0.4,0.25,0.1,0.8002294864471472,0.0
0.4,0.25,0.125,0.8135823522597098,0.0
0.4,0.25,0.15000000000000002,0.8068096251171457,0.0
